Plant,Classification,Classification_Type,Model,Num Classes,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Best Val Accuracy,Final Train Loss,Final Val Loss
Apple,2-way,binary,clip,2,0.9728888888888889,0.9729162743893716,0.9728888888888889,0.9728870086202688,0.9717777777777777,0.10924414402513742,0.07972798680024658
Apple,3-way,generation,clip,3,0.8542222222222222,0.8895309624063472,0.8542222222222222,0.867967331815963,0.8686666666666666,0.410678377143772,0.5393832430560538
Apple,10-way,detailed,clip,10,0.5544444444444444,0.6169633886878411,0.5544444444444444,0.5573510096476054,0.5606666666666666,0.9976636221276288,1.0654255296532988
Maize,2-way,binary,clip,2,0.997473836160231,0.9974804641041813,0.997473836160231,0.997473901972818,0.997110870350307,0.006565829235497214,0.006518734876974237
Maize,3-way,generation,clip,3,0.8242511728617827,0.8448835685135954,0.8242511728617827,0.8327363004554008,0.816179126038281,0.8019811363134643,0.6615034414605162
Tomato,2-way,binary,clip,2,0.9936117936117936,0.9936128657241129,0.9936117936117936,0.9936120876977347,0.9926253687315634,0.036039120093397575,0.02493074239395997
Tomato,3-way,generation,clip,3,0.8614250614250615,0.89897997070986,0.8614250614250615,0.8744223505853973,0.8579154375614553,0.39549634906619463,0.4885734946193064
Tomato,10-way,detailed,clip,10,0.601965601965602,0.6986691702872774,0.601965601965602,0.6053029174697713,0.5872664700098329,0.8780274385148573,0.932929356542288
