Plant,Classification,Classification_Type,Model,Num Classes,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Best Val Accuracy,Final Train Loss,Final Val Loss
Maize,10-way,detailed,efficientnet_b0,9,0.9971129556116926,0.9972065929082893,0.9971129556116926,0.9970958443392562,0.9960274467316721,0.016124690790777527,0.01705678855850938
Maize,10-way,detailed,resnet50,9,0.9108625045110068,0.9445877245469335,0.9108625045110068,0.9235280794981933,0.942578548212351,0.2543185195415327,0.2281998667823172
Maize,10-way,detailed,clip,9,0.7571273908336341,0.8638214630029818,0.7571273908336341,0.7843237414335955,0.781148429035753,0.74202975638137,0.6456631442596172
Tomato,2-way,binary,clip,2,0.9975429975429976,0.9975437096515375,0.9975429975429976,0.997543110652975,0.9975417895771878,0.012671123682857399,0.008650919183537553
